text,label
Availability shall have an uptime of 99.9%.,NFR
A: 672 .,Unknown
Q: 619 ,Unknown
Section 527 ...,Unknown
References 56 ...,Unknown
Page 305 .,Unknown
Page 121 ...,Unknown
A: 777 ,Unknown
The mobile app shall permit staff to update profile details manually.,FR
The API must enable drivers to receive notifications using the mobile app.,FR
The login page must respond within 2 seconds.,NFR
Introduction 671 ,Unknown
The backend server allows doctors to receive notifications automatically.,FR
Page 566 .,Unknown
A: 649 ,Unknown
Availability must be accessible to screen readers (WCAG 2.1).,NFR
References 7 ...,Unknown
Introduction 423 ,Unknown
References 518 .,Unknown
The system shall adhere to ISO 27001.,NFR
Response time shall operate on low-bandwidth networks.,NFR
A: 890 ...,Unknown
Appendix 759 ...,Unknown
Table of Contents 187 ...,Unknown
Appendix 820 ...,Unknown
Response time shall be compatible with Chrome and Edge.,NFR
The backend server is designed to let drivers to calculate tax securely.,FR
Source: 245 .,Unknown
Chapter 777 ,Unknown
The mobile app must facilitate doctors to record the session in real-time.,FR
The smart watch shall allow parents to upload assignments before session starts.,FR
Chapter 107 .,Unknown
Appendix 336 ...,Unknown
Transaction processing must support multi-language (i18n).,NFR
The user interface automatically drivers to scan QR codes automatically.,FR
The server must be protected against SQL injection.,NFR
Source: 385 ,Unknown
Introduction 51 ,Unknown
The smart watch will support drivers to download materials before session starts.,FR
The admin module shall allow tutors to schedule a meeting automatically.,FR
Table of Contents 277 ...,Unknown
Introduction 31 .,Unknown
The API response must support multi-language (i18n).,NFR
Chapter 267 .,Unknown
Q: 451 ,Unknown
Section 951 ,Unknown
The smart watch will support clients to chat with support securely.,FR
The API enables users to calculate tax securely.,FR
References 505 ,Unknown
Page 323 .,Unknown
References 992 ,Unknown
A: 397 .,Unknown
The user interface should provide doctors to calculate tax using a secure form.,FR
Response time must support multi-language (i18n).,NFR
Appendix 597 ...,Unknown
The server must support multi-language (i18n).,NFR
The smart watch shall allow doctors to log in securely using a secure form.,FR
The system allows clients to verify identity via SMS.,FR
Password storage must comply with GDPR.,NFR
The backend server shall allow students to import user lists without refreshing the page.,FR
A: 355 ,Unknown
The backend server allows students to configure settings via email.,FR
Response time must support multi-language (i18n).,NFR
The user interface will support moderators to upload assignments using 2FA.,FR
The application shall allow customers to record the session manually.,FR
Note: 378 .,Unknown
"Availability shall support 10,000 concurrent users.",NFR
Source: 403 .,Unknown
The mobile app will support users to schedule a meeting using a secure form.,FR
The system must be accessible to screen readers (WCAG 2.1).,NFR
Figure 113 ...,Unknown
A: 567 ,Unknown
The application must enable moderators to calculate tax using 2FA.,FR
The platform automatically administrators to mute the microphone automatically.,FR
The mobile application must support multi-language (i18n).,NFR
Source: 27 .,Unknown
Chapter 118 ,Unknown
The mobile app is designed to let guests to reset their password before session starts.,FR
The admin module shall permit users to upload assignments after validation.,FR
Chapter 411 ,Unknown
The network connection shall be compatible with Chrome and Edge.,NFR
Figure 659 .,Unknown
The application must facilitate customers to record the session after validation.,FR
Section 483 .,Unknown
Source: 525 .,Unknown
Page 789 ...,Unknown
Source: 361 .,Unknown
Transaction processing shall adhere to ISO 27001.,NFR
Page 562 ...,Unknown
Note: 139 ,Unknown
Source: 542 ...,Unknown
Security protocols must respond within 2 seconds.,NFR
A: 722 ...,Unknown
The database shall have an uptime of 99.9%.,NFR
Note: 641 ...,Unknown
The platform enables parents to submit feedback using 2FA.,FR
Chapter 560 ...,Unknown
Q: 462 ,Unknown
A: 598 ,Unknown
Transaction processing must load within 3 seconds.,NFR
The user interface must enable drivers to update profile details after validation.,FR
The database must be encrypted using AES-256.,NFR
The API automatically moderators to chat with support without refreshing the page.,FR
Chapter 942 .,Unknown
Transaction processing shall be compatible with Chrome and Edge.,NFR
The system shall operate on low-bandwidth networks.,NFR
Chapter 177 .,Unknown
The user interface allows students to chat with support after validation.,FR
The mobile application must be accessible to screen readers (WCAG 2.1).,NFR
Security protocols should have comprehensive documentation.,NFR
Chapter 498 ...,Unknown
Data backups must allow recovery within 5 minutes.,NFR
Abstract 902 .,Unknown
A: 733 ,Unknown
Figure 656 ...,Unknown
Chapter 584 ...,Unknown
The user interface enables users to schedule a meeting using 2FA.,FR
The backend server enables tutors to register an account in real-time.,FR
The application allows moderators to update profile details securely.,FR
The database shall use HTTPS for all communications.,NFR
Data backups must be accessible to screen readers (WCAG 2.1).,NFR
Section 714 .,Unknown
The admin module must facilitate patients to submit feedback via SMS.,FR
Chapter 433 ,Unknown
The login page shall operate on low-bandwidth networks.,NFR
References 113 ...,Unknown
Introduction 144 ,Unknown
The API shall permit clients to schedule a meeting securely.,FR
The login page must support multi-language (i18n).,NFR
Note: 804 ...,Unknown
Abstract 395 .,Unknown
The user interface must enable staff to scan QR codes via SMS.,FR
The smart watch is designed to let clients to reset their password using 2FA.,FR
Appendix 120 ...,Unknown
The admin module automatically administrators to upload assignments using a secure form.,FR
Transaction processing must respond within 2 seconds.,NFR
The API allows parents to record the session in real-time.,FR
References 193 .,Unknown
Appendix 438 ...,Unknown
Figure 90 .,Unknown
Figure 598 ,Unknown
Appendix 761 ...,Unknown
Q: 876 ,Unknown
References 426 ,Unknown
Abstract 687 ...,Unknown
The mobile application must respond within 2 seconds.,NFR
Figure 344 ,Unknown
The application shall allow clients to import user lists via email.,FR
Appendix 4 ,Unknown
A: 580 ,Unknown
Source: 291 ...,Unknown
Section 15 ...,Unknown
A: 399 ...,Unknown
Abstract 505 ,Unknown
Table of Contents 964 ...,Unknown
Note: 558 ,Unknown
Introduction 455 .,Unknown
The system must comply with GDPR.,NFR
Q: 124 ,Unknown
Transaction processing must comply with GDPR.,NFR
The API will support users to download materials using the mobile app.,FR
Figure 698 ,Unknown
The backend server automatically users to scan QR codes before session starts.,FR
The user interface must enable administrators to chat with support via email.,FR
A: 377 ...,Unknown
The application shall allow parents to upload assignments via email.,FR
The backend server shall permit tutors to chat with support using the mobile app.,FR
Transaction processing must failover gracefully.,NFR
The mobile app enables students to verify identity via email.,FR
Note: 802 .,Unknown
Introduction 493 ...,Unknown
Appendix 369 ,Unknown
All user data shall operate on low-bandwidth networks.,NFR
Appendix 6 ,Unknown
Table of Contents 345 ,Unknown
Section 383 ...,Unknown
The system automatically doctors to search for courses via email.,FR
Appendix 776 .,Unknown
The login page shall use HTTPS for all communications.,NFR
Introduction 806 .,Unknown
Figure 999 ,Unknown
The API response must be protected against SQL injection.,NFR
The platform should provide students to rate the tutor through the web portal.,FR
Availability must comply with GDPR.,NFR
The platform automatically users to scan QR codes using a secure form.,FR
Availability must failover gracefully.,NFR
Note: 665 ,Unknown
Introduction 71 .,Unknown
The network connection shall use HTTPS for all communications.,NFR
The login page should have comprehensive documentation.,NFR
Table of Contents 438 ...,Unknown
The network connection must comply with GDPR.,NFR
Table of Contents 356 .,Unknown
"Availability shall support 10,000 concurrent users.",NFR
Response time must be modular and maintainable.,NFR
Introduction 993 ,Unknown
The system shall permit students to submit feedback after validation.,FR
Section 931 ,Unknown
Source: 920 .,Unknown
"The database shall support 10,000 concurrent users.",NFR
References 582 .,Unknown
The backend server must enable users to manage content securely.,FR
The database shall operate on low-bandwidth networks.,NFR
Appendix 686 ,Unknown
All user data shall have an uptime of 99.9%.,NFR
Data backups shall operate on low-bandwidth networks.,NFR
Table of Contents 686 ...,Unknown
The smart watch automatically patients to verify identity using a secure form.,FR
Password storage must respond within 2 seconds.,NFR
The system should provide guests to register an account within the dashboard.,FR
The login page should have comprehensive documentation.,NFR
Availability shall adhere to ISO 27001.,NFR
Note: 132 ,Unknown
The API enables patients to record the session automatically.,FR
Page 731 .,Unknown
The application allows doctors to calculate tax manually.,FR
Appendix 573 ...,Unknown
References 965 .,Unknown
Appendix 125 ,Unknown
Source: 425 .,Unknown
The mobile application must allow recovery within 5 minutes.,NFR
The user interface shall permit parents to update profile details automatically.,FR
The API allows drivers to receive notifications using 2FA.,FR
Abstract 758 .,Unknown
Note: 670 .,Unknown
Q: 321 ...,Unknown
Section 430 .,Unknown
Q: 441 ...,Unknown
"Availability shall support 10,000 concurrent users.",NFR
The backend server shall permit guests to manage content without refreshing the page.,FR
The system shall use HTTPS for all communications.,NFR
Introduction 764 ...,Unknown
Appendix 415 ...,Unknown
Password storage shall have an uptime of 99.9%.,NFR
Chapter 33 ,Unknown
All user data shall be compatible with Chrome and Edge.,NFR
Security protocols shall auto-backup every 24 hours.,NFR
The admin module must enable patients to track GPS location via SMS.,FR
The mobile app automatically parents to export data to PDF via email.,FR
The platform enables clients to schedule a meeting automatically.,FR
Response time shall adhere to ISO 27001.,NFR
A: 650 ,Unknown
Figure 646 ,Unknown
The API response must be encrypted using AES-256.,NFR
A: 904 ,Unknown
"Security protocols shall support 10,000 concurrent users.",NFR
Table of Contents 608 .,Unknown
The API response must support multi-language (i18n).,NFR
Transaction processing must allow recovery within 5 minutes.,NFR
Introduction 505 ,Unknown
References 16 ...,Unknown
Appendix 163 ...,Unknown
Note: 44 .,Unknown
The platform enables doctors to view transaction history after validation.,FR
The login page must allow recovery within 5 minutes.,NFR
The application enables guests to download materials without refreshing the page.,FR
Q: 783 ...,Unknown
Introduction 608 .,Unknown
Section 433 ...,Unknown
A: 418 ,Unknown
Response time must allow recovery within 5 minutes.,NFR
The platform enables guests to submit feedback through the web portal.,FR
References 435 ,Unknown
The admin module is designed to let clients to search for courses in real-time.,FR
Section 187 .,Unknown
Introduction 894 ,Unknown
The admin module enables moderators to view transaction history using 2FA.,FR
Password storage must comply with GDPR.,NFR
Note: 713 ,Unknown
Q: 112 ,Unknown
The smart watch must facilitate staff to cancel an appointment securely.,FR
References 422 ,Unknown
A: 520 ,Unknown
Q: 529 ...,Unknown
Abstract 331 ,Unknown
The database must be accessible to screen readers (WCAG 2.1).,NFR
The system shall have an uptime of 99.9%.,NFR
Note: 545 ...,Unknown
Table of Contents 882 ...,Unknown
Note: 169 .,Unknown
The database must comply with GDPR.,NFR
A: 700 ...,Unknown
The API response shall be compatible with Chrome and Edge.,NFR
The login page shall adhere to ISO 27001.,NFR
The API shall permit tutors to import user lists using a secure form.,FR
The backend server shall allow clients to rate the tutor manually.,FR
The API response shall have an uptime of 99.9%.,NFR
The system is designed to let customers to configure settings using a secure form.,FR
The admin module will support drivers to schedule a meeting using a secure form.,FR
Q: 660 .,Unknown
The platform should provide patients to download materials via SMS.,FR
Source: 963 ,Unknown
The system must enable students to scan QR codes using the mobile app.,FR
Availability shall be compatible with Chrome and Edge.,NFR
The API automatically staff to share the screen before session starts.,FR
Figure 502 ,Unknown
References 143 .,Unknown
The smart watch should provide parents to calculate tax after validation.,FR
Q: 212 ,Unknown
Response time shall have an uptime of 99.9%.,NFR
Section 602 ,Unknown
Appendix 332 ...,Unknown
Abstract 27 ,Unknown
Appendix 996 ...,Unknown
The smart watch must enable parents to scan QR codes within the dashboard.,FR
The login page shall adhere to ISO 27001.,NFR
Source: 537 ,Unknown
The API shall permit moderators to generate invoices within the dashboard.,FR
The login page should have comprehensive documentation.,NFR
The API is designed to let tutors to record the session securely.,FR
Q: 813 ...,Unknown
Appendix 375 ,Unknown
A: 671 ,Unknown
The user interface enables parents to submit feedback securely.,FR
Chapter 179 .,Unknown
The platform automatically tutors to chat with support before session starts.,FR
Chapter 327 ,Unknown
The user interface automatically patients to view transaction history without refreshing the page.,FR
Introduction 18 ,Unknown
Chapter 957 ,Unknown
Section 28 .,Unknown
Abstract 220 ,Unknown
Abstract 455 .,Unknown
Figure 199 ...,Unknown
The smart watch enables staff to search for courses after validation.,FR
Security protocols shall be compatible with Chrome and Edge.,NFR
Note: 354 ...,Unknown
Source: 567 ,Unknown
The application shall permit doctors to update profile details manually.,FR
The mobile app is designed to let clients to register an account manually.,FR
The platform enables doctors to record the session after validation.,FR
Source: 27 .,Unknown
The API response must respond within 2 seconds.,NFR
"All user data shall support 10,000 concurrent users.",NFR
"All user data shall support 10,000 concurrent users.",NFR
Source: 256 ,Unknown
The admin module is designed to let tutors to search for courses securely.,FR
The smart watch allows administrators to mute the microphone through the web portal.,FR
The backend server is designed to let doctors to schedule a meeting without refreshing the page.,FR
The system must be protected against SQL injection.,NFR
The system allows drivers to record the session through the web portal.,FR
Page 46 .,Unknown
The mobile app will support doctors to chat with support after validation.,FR
Q: 747 ,Unknown
Introduction 856 ...,Unknown
Transaction processing shall be compatible with Chrome and Edge.,NFR
Note: 868 ,Unknown
Q: 47 .,Unknown
The API shall permit parents to schedule a meeting via email.,FR
The API response must support multi-language (i18n).,NFR
The mobile application shall operate on low-bandwidth networks.,NFR
References 153 .,Unknown
The mobile app must enable students to filter results by price before session starts.,FR
References 627 ...,Unknown
The system should have comprehensive documentation.,NFR
The backend server automatically tutors to register an account via email.,FR
The mobile app must facilitate customers to filter results by price within the dashboard.,FR
References 312 ...,Unknown
Response time shall have an uptime of 99.9%.,NFR
The database shall adhere to ISO 27001.,NFR
The platform enables guests to receive notifications after validation.,FR
The application must enable staff to schedule a meeting through the web portal.,FR
Q: 690 .,Unknown
Abstract 587 ,Unknown
The mobile application must be accessible to screen readers (WCAG 2.1).,NFR
Appendix 981 ,Unknown
The application must facilitate clients to schedule a meeting securely.,FR
Figure 351 ...,Unknown
All user data must be modular and maintainable.,NFR
The login page shall have an uptime of 99.9%.,NFR
The admin module will support doctors to view transaction history within the dashboard.,FR
The platform must facilitate guests to chat with support after validation.,FR
A: 817 ,Unknown
"The mobile application shall support 10,000 concurrent users.",NFR
The mobile app should provide administrators to configure settings automatically.,FR
All user data must load within 3 seconds.,NFR
The platform shall allow students to schedule a meeting within the dashboard.,FR
Q: 396 ...,Unknown
References 767 ,Unknown
Password storage shall operate on low-bandwidth networks.,NFR
The login page shall use HTTPS for all communications.,NFR
Introduction 519 .,Unknown
Chapter 333 ...,Unknown
Abstract 968 .,Unknown
The server must failover gracefully.,NFR
Q: 611 ,Unknown
References 637 ...,Unknown
The application shall permit guests to generate invoices before session starts.,FR
The login page shall have an uptime of 99.9%.,NFR
The system must comply with GDPR.,NFR
The database must respond within 2 seconds.,NFR
The login page shall have an uptime of 99.9%.,NFR
References 309 ...,Unknown
Source: 166 ...,Unknown
Table of Contents 748 ,Unknown
The API response shall be compatible with Chrome and Edge.,NFR
The admin module should provide staff to track GPS location through the web portal.,FR
Source: 392 ...,Unknown
The platform should provide clients to cancel an appointment via SMS.,FR
A: 707 ...,Unknown
Figure 400 .,Unknown
The database shall operate on low-bandwidth networks.,NFR
The login page should have comprehensive documentation.,NFR
The smart watch should provide moderators to register an account in real-time.,FR
Note: 87 .,Unknown
Figure 350 ,Unknown
Figure 415 ...,Unknown
Table of Contents 897 ,Unknown
Page 472 ,Unknown
Introduction 784 ,Unknown
Abstract 421 ,Unknown
Table of Contents 879 .,Unknown
The API automatically customers to search for courses using the mobile app.,FR
The admin module allows administrators to track GPS location without refreshing the page.,FR
The platform shall permit guests to calculate tax before session starts.,FR
Note: 66 .,Unknown
The login page shall be compatible with Chrome and Edge.,NFR
The system shall permit guests to log in securely automatically.,FR
Section 979 ,Unknown
The admin module enables parents to upload assignments in real-time.,FR
The backend server should provide patients to submit feedback automatically.,FR
Abstract 645 ,Unknown
Section 25 .,Unknown
The server must respond within 2 seconds.,NFR
Table of Contents 917 .,Unknown
Q: 453 .,Unknown
The application automatically clients to receive notifications via email.,FR
Transaction processing shall have an uptime of 99.9%.,NFR
The mobile app shall allow clients to scan QR codes without refreshing the page.,FR
The database should have comprehensive documentation.,NFR
A: 150 ...,Unknown
The user interface is designed to let staff to scan QR codes in real-time.,FR
Note: 233 ,Unknown
The admin module automatically doctors to view transaction history automatically.,FR
Security protocols shall have an uptime of 99.9%.,NFR
Appendix 247 ...,Unknown
Section 228 ,Unknown
Abstract 637 .,Unknown
Q: 179 ...,Unknown
The smart watch must facilitate clients to receive notifications after validation.,FR
The system shall allow staff to download materials via SMS.,FR
The system should provide doctors to reset their password within the dashboard.,FR
Introduction 954 .,Unknown
Chapter 836 ,Unknown
The smart watch enables drivers to verify identity automatically.,FR
Abstract 574 ,Unknown
Transaction processing shall use HTTPS for all communications.,NFR
Password storage shall operate on low-bandwidth networks.,NFR
The admin module shall permit users to register an account through the web portal.,FR
Abstract 557 ,Unknown
Figure 656 .,Unknown
Response time shall use HTTPS for all communications.,NFR
The mobile app shall allow guests to import user lists securely.,FR
Appendix 137 ,Unknown
Table of Contents 973 ...,Unknown
All user data must respond within 2 seconds.,NFR
The user interface must facilitate guests to calculate tax before session starts.,FR
The smart watch enables patients to import user lists automatically.,FR
The application allows clients to manage content within the dashboard.,FR
The backend server automatically users to receive notifications automatically.,FR
The mobile app enables staff to configure settings using a secure form.,FR
The user interface allows administrators to cancel an appointment using 2FA.,FR
The mobile app must enable students to chat with support through the web portal.,FR
The mobile app shall allow customers to import user lists in real-time.,FR
Section 549 ,Unknown
Data backups must be accessible to screen readers (WCAG 2.1).,NFR
References 317 ,Unknown
Source: 163 ...,Unknown
A: 730 .,Unknown
The smart watch must enable parents to configure settings using a secure form.,FR
All user data must failover gracefully.,NFR
The network connection shall be compatible with Chrome and Edge.,NFR
Security protocols shall operate on low-bandwidth networks.,NFR
Abstract 266 ...,Unknown
References 754 .,Unknown
References 368 ...,Unknown
All user data must respond within 2 seconds.,NFR
All user data shall have an uptime of 99.9%.,NFR
The mobile app shall permit patients to track GPS location automatically.,FR
The smart watch shall permit drivers to register an account within the dashboard.,FR
